ID;Name;Event;Event Details;Year
1;Paulo Albuquerque;Promotion;1. Graduated;2006
2;Paulo Albuquerque;Promotion;2. Assistant Prof;2006
3;Paulo Albuquerque;Promotion;3. Associate Prof;2012
4;Paulo Albuquerque;Joined European Business School;INSEAD;2014
5;Paulo Albuquerque;Published;MgmtS;2007
6;Paulo Albuquerque;Published;MktS;2009
7;Paulo Albuquerque;Published;MktS;2011
8;Paulo Albuquerque;Published;JMR;2011
9;Paulo Albuquerque;Published;MS;2012
10;Paulo Albuquerque;Published;MS;2012
11;Simona Botti;Promotion;1. Graduated;2004
12;Simona Botti;Promotion;2. Assistant Prof;2004
13;Simona Botti;Joined European Business School;London Business School;2007
14;Simona Botti;Promotion;3. Associate Prof;2012
15;Simona Botti;Promotion;4. Prof;2018
16;Simona Botti;Published;JCR;2006
17;Simona Botti;Published;JCR;2009
18;Simona Botti;Published;JCR;2011
19;Simona Botti;Published;JCR;2013
20;Simona Botti;Published;JMR;2017
21;Simona Botti;Published;JCR;2018
22;Simona Botti;Promotion;1. Graduated;1996
23;Rajesh Chandy;Promotion;1.5 Visting Assistant Prof.;1996
24;Rajesh Chandy;Promotion;2. Assistant Prof;1997
25;Rajesh Chandy;Promotion;3. Associate Prof;2004
26;Rajesh Chandy;Promotion;4. Prof;2007
27;Rajesh Chandy;Joined European Business School;London Business School;2008
28;Rajesh Chandy;Published;JMR;1998
29;Rajesh Chandy;Published;JMR;1999
30;Rajesh Chandy;Published;JMR;2000
31;Rajesh Chandy;Published;Jmkting;2000
32;Rajesh Chandy;Published;JMR;2001
33;Rajesh Chandy;Published;JMR;2003
34;Rajesh Chandy;Published;Jmkting;2003
35;Rajesh Chandy;Published;Jmkting;2005
36;Rajesh Chandy;Published;MS;2005
37;Rajesh Chandy;Published;JMR;2006
38;Rajesh Chandy;Published;JMR;2007
39;Rajesh Chandy;Published;Jmkting;2007
40;Rajesh Chandy;Published;Jmkting;2007
41;Rajesh Chandy;Published;Jmkting;2008
42;Rajesh Chandy;Published;Jmkting;2008
43;Rajesh Chandy;Published;Jmkting;2009
44;Rajesh Chandy;Published;JMR;2010
45;Rajesh Chandy;Published;Jmkting;2011
46;Rajesh Chandy;Published;JMR;2014
47;Rajesh Chandy;Published;Jmkting;2015
48;Rajesh Chandy;Published;MS;2017
49;Reinhard Angelmar;Promotion;1. Graduated;1968
50;Reinhard Angelmar;Promotion;2. Assistant Prof;1974
51;Reinhard Angelmar;Joined European Business School;INSEAD;1977
52;Reinhard Angelmar;Promotion;4. Prof;1989
53;Reinhard Angelmar;Promotion;5. Emeritus Prof.;2011
54;Reinhard Angelmar;Published;Jmkting;1972
55;Reinhard Angelmar;Published;JMR;1978
56;Reinhard Angelmar;Published;Jmkting;1983
57;Abhishek Borah;Promotion;1. Graduated;2013
58;Abhishek Borah;Promotion;2. Assistant Prof;2013
59;Abhishek Borah;Joined European Business School;INSEAD;2018
60;Abhishek Borah;Published;MktS;2014
61;Abhishek Borah;Published;JMR;2014
62;Abhishek Borah;Published;Jmkting;2017
63;Ziv Carmon;Promotion;1. Graduated;1993
64;Ziv Carmon;Promotion;2. Assistant Prof;1993
65;Ziv Carmon;Joined European Business School;INSEAD;2000
66;Ziv Carmon;Promotion;2. Assistant Prof;2000
67;Ziv Carmon;Promotion;4. Prof;2006
68;Ziv Carmon;Promotion;5. Chaired Professor;2012
69;Ziv Carmon;Promotion;5. Dean;2017
70;Ziv Carmon;Published;MktS;2008
71;Ziv Carmon;Published;JCR;2006
72;Ziv Carmon;Published;JMR;2005
73;Ziv Carmon;Published;JMR;2005
74;Ziv Carmon;Published;JCR;2000
75;Ziv Carmon;Published;MgmtS;1999
76;Ziv Carmon;Published;MktS;1999
77;Ziv Carmon;Published;MgmtS;1995
78;Ziv Carmon;Published;MktS;1994
79;Pierre Chandon;Promotion;1. Graduated;1998
80;Pierre Chandon;Promotion;2. Assistant Prof;1998
81;Pierre Chandon;Joined European Business School;London Business School;1998
82;Pierre Chandon;Joined European Business School;INSEAD;1999
